name,actors
The Sweet Hereafter,"['Ian Holm', 'Maury Chaykin', 'Peter Donaldson', 'Bruce Greenwood', 'David Hemblen', 'Brooke Johnson', 'Arsinée Khanjian', 'Tom McCamus', 'Stephanie Morgenstern', 'Earl Pastko', 'Sarah Polley', 'Gabrielle Rose', 'Alberta Watson']"
Songs from the Second Floor,[]
Telling Lies in America,"['Kevin Bacon', 'Brad Renfro', 'Maximilian Schell', 'Calista Flockhart', 'Paul Dooley', 'Luke Wilson']"
A Thousand Acres,"['Michelle Pfeiffer', 'Jessica Lange', 'Jennifer Jason Leigh', 'Colin Firth', 'Keith Carradine', 'Kevin Anderson', 'Pat Hingle', 'Jason Robards']"
A Simple Plan,"['Bill Paxton', 'Billy Bob Thornton', 'Bridget Fonda']"
Tomorrow Never Dies,"['Pierce Brosnan', 'Jonathan Pryce', 'Michelle Yeoh', 'Teri Hatcher', 'Joe Don Baker', 'Judi Dench']"
Toy Story 2,"['Tom Hanks', 'Tim Allen']"
Trojan War,"['Will Friedle', 'Jennifer Love Hewitt', 'Marley Shelton']"
The Truman Show,"['Jim Carrey', 'Laura Linney', 'Noah Emmerich', 'Natascha McElhone', 'Holland Taylor', 'Ed Harris']"
"Truth or Consequences, N.M.","['Kiefer Sutherland', 'Kevin Pollak', 'Kim Dickens', 'Grace Phillips', 'Rod Steiger', 'Martin Sheen']"
Turbo: A Power Rangers Movie,"['Johnny Yong Bosch', 'Nakia Burrise', 'Steve Cardenas', 'Jason David Frank', 'Austin St. John', 'Catherine Sutherland', 'Jason Narvy', 'Paul Schrier', 'Hilary Shepard Turner', 'Amy Jo Johnson', 'Blake Foster']"
Vegas Vacation,"['Chevy Chase', ""Beverly D'Angelo"", 'Randy Quaid', 'Miriam Flynn', 'Ethan Embry', 'Marisol Nichols', ""Shae D'lyn"", 'Wayne Newton', 'Siegfried & Roy', 'Sid Caesar', 'Julio Oscar Mechoso', 'Wallace Shawn']"
La Vérité si je mens !,[]
Star Kid,"['Joseph Mazzello', 'Richard Gilliland']"
The Man Who Knew Too Little,"['Bill Murray', 'Peter Gallagher', 'Joanne Whalley', 'Richard Wilson']"
The Waterboy,"['Adam Sandler', 'Kathy Bates', 'Fairuza Balk', 'Jerry Reed', 'Henry Winkler']"
Welcome to Sarajevo,"['Stephen Dillane', 'Woody Harrelson', 'Marisa Tomei', 'Emira Nušević', 'Kerry Fox', 'Goran Višnjić', 'James Nesbitt', 'Emily Lloyd']"
Wishmaster,"['Tammy Lauren', 'Andrew Divoff', 'Kane Hodder', 'Tony Todd', 'Robert Englund']"
Woo,"['Tommy Davidson', 'Jada Pinkett Smith', 'Dave Chappelle', 'Paula Jai Parker', 'LL Cool J', 'Darren Heath', 'Duane Martin']"
Yes Boss,[]
54,"['Ryan Phillippe', 'Salma Hayek', 'Neve Campbell', 'Mike Myers', 'Sela Ward', 'Breckin Meyer', 'Sherry Stringfield']"
American History X,"['Edward Norton', 'Edward Furlong', 'Fairuza Balk', 'Stacy Keach', 'Elliott Gould', 'Avery Brooks', ""Beverly D'Angelo""]"
Antz,"['Woody Allen', 'Dan Aykroyd', 'Anne Bancroft', 'Jane Curtin', 'Danny Glover', 'Gene Hackman', 'Jennifer Lopez', 'John Mahoney', 'Paul Mazursky', 'Grant Shaud', 'Sylvester Stallone', 'Sharon Stone', 'Christopher Walken']"
The Autumn Heart,[]
Babe: Pig in the City,"['Magda Szubanski', 'James Cromwell', 'Mickey Rooney']"
Being John Malkovich,"['John Cusack', 'Cameron Diaz', 'Catherine Keener', 'Orson Bean', 'Mary Kay Place', 'John Malkovich']"
The Big Hit,"['Mark Wahlberg', 'Lou Diamond Phillips', 'Christina Applegate', 'Avery Brooks', 'Bokeem Woodbine', 'Antonio Sabàto Jr.', 'Lainie Kazan', 'Elliott Gould', 'Sab Shimono', 'Lela Rochon']"
